Case, CSV, F-Score
C1 --> n=3 distance metric=euclidean parallel jobs=1, CSV=reviews1_vectors,0.7182010443791669
C1 --> n=5 distance metric=euclidean parallel jobs=1, CSV=reviews1_vectors,0.676546174887547
C1 --> n=7 distance metric=euclidean parallel jobs=1, CSV=reviews1_vectors,0.639158724340176
C1 --> n=3 distance metric=euclidean parallel jobs=1, CSV=reviews2_vectors,0.6977381592766209
C1 --> n=5 distance metric=euclidean parallel jobs=1, CSV=reviews2_vectors,0.6506437212913243
C1 --> n=7 distance metric=euclidean parallel jobs=1, CSV=reviews2_vectors,0.645336640433941
C1 --> n=3 distance metric=euclidean parallel jobs=-1, CSV=reviews1_vectors,0.7113997113997115
C1 --> n=5 distance metric=euclidean parallel jobs=-1, CSV=reviews1_vectors,0.6525866322866245
C1 --> n=7 distance metric=euclidean parallel jobs=-1, CSV=reviews1_vectors,0.6286955303348747
C1 --> n=3 distance metric=euclidean parallel jobs=-1, CSV=reviews2_vectors,0.6511539725473344
C1 --> n=5 distance metric=euclidean parallel jobs=-1, CSV=reviews2_vectors,0.6529050586510263
C1 --> n=7 distance metric=euclidean parallel jobs=-1, CSV=reviews2_vectors,0.6600027199782401
C1 --> n=3 distance metric=manhattan parallel jobs=1, CSV=reviews1_vectors,0.721573084286663
C1 --> n=5 distance metric=manhattan parallel jobs=1, CSV=reviews1_vectors,0.7238331952499308
C1 --> n=7 distance metric=manhattan parallel jobs=1, CSV=reviews1_vectors,0.681950251576784
C1 --> n=3 distance metric=manhattan parallel jobs=1, CSV=reviews2_vectors,0.6266968325791855
C1 --> n=5 distance metric=manhattan parallel jobs=1, CSV=reviews2_vectors,0.6537236252827923
C1 --> n=7 distance metric=manhattan parallel jobs=1, CSV=reviews2_vectors,0.6581331588270469
C1 --> n=3 distance metric=manhattan parallel jobs=-1, CSV=reviews1_vectors,0.6747474236793987
C1 --> n=5 distance metric=manhattan parallel jobs=-1, CSV=reviews1_vectors,0.6758138245106475
